1,2,3,4,5,6,7,8,9
13.1,34,4.3,7.63,0.5,8.4,6.950494659,0.15,1
13.8,34,3,7.66,0.54,9,6.950494659,0.15,1
13.2,33,2.8,7.61,0.56,11,6.847518675,0.15,1
12.6,35,3.9,7.6,0.6,10,7.051967101,0.15,1
13.4,32,3.7,7.55,0.57,8.6,6.742970265,0.15,1
13.2,35,2.8,7.41,0.55,10,7.051967101,0.15,1
13.2,34,4.2,7.39,0.55,9.3,6.950494659,0.15,1
14,35,6.2,7.54,0.55,7.6,7.051967101,0.15,1
12.1,32,7,7.47,0.53,8.9,6.742970265,0.16,1
13,33,4.8,7.47,0.57,8.4,6.847518675,0.15,1
12.8,33,16,7.42,0.52,9,6.847518675,0.2,1
12.3,31,7.3,7.65,0.5,8.1,6.63677512,0.15,1
13.2,31,4.2,7.48,0.5,7.8,6.63677512,0.15,1
12.9,32,4,7.49,0.52,7.8,6.742970265,0.15,1
13,33,5.5,7.41,0.52,8.4,6.847518675,0.15,1
13.3,31,3.4,7.54,0.57,8.4,6.63677512,0.15,1
13.2,32,3.3,7.58,0.53,9,6.742970265,0.15,1
13.9,31,3.1,7.59,0.5,8.4,6.63677512,0.15,1
14.5,31,2.9,7.56,0.54,9.7,6.63677512,0.15,1
14.6,32,3,7.55,0.55,9.9,6.742970265,0.15,1
15,33,4.4,7.58,0.55,9,6.847518675,0.15,1
15.3,33,4,7.53,0.56,9.1,6.847518675,0.14,1
15.4,31,4.6,7.78,0.54,7.3,6.63677512,0.14,1
15.7,34,4,7.61,0.56,8.6,6.950494659,0.14,1
16.2,33,4.4,7.56,0.56,9,6.847518675,0.14,1
16.3,40,3.3,7.45,0.56,9.7,7.538869942,0.14,1
15.9,28,8.4,7.52,0.56,7.4,6.307471126,0.14,1
16.4,32,5.8,7.45,0.58,9,6.742970265,0.14,1
16.2,32,5.3,7.49,0.58,8.9,6.742970265,0.14,1
16,31,4.2,7.48,0.56,8.6,6.63677512,0.14,1
16.2,32,3.8,7.45,0.55,8.4,6.742970265,0.14,1
16.6,31,4.2,7.51,0.58,8.6,6.63677512,0.14,1
16.8,31,6.2,7.47,0.5,8.1,6.63677512,0.14,1
16.4,31,5.5,7.45,0.5,9,6.63677512,0.14,1
16.6,32,4.3,7.45,0.56,8.1,6.742970265,0.14,1
17,32,4,7.56,0.55,9.7,6.742970265,0.14,1
16.8,32,3.3,7.41,0.54,9,6.742970265,0.14,1
16.3,32,2.5,7.53,0.56,8.4,6.742970265,0.14,1
16.6,33,3.4,7.52,0.55,9.6,6.847518675,0.14,1
17.2,29,3.5,7.56,0.55,9.1,6.41911645,0.12,1
16.9,31,3.7,7.49,0.53,8.7,6.63677512,0.12,1
17.4,29,3.2,7.51,0.62,6.6,6.41911645,0.12,1
16.5,34,3.1,7.43,0.56,8.3,6.950494659,0.12,1
16.8,29,3,7.56,0.54,6.9,6.41911645,0.12,1
16,33,2.6,7.63,0.55,7.2,6.847518675,0.12,1
15.8,32,3,7.57,0.54,9.4,6.742970265,0.14,1
16,30,2.5,7.54,0.55,8.2,6.528852885,0.14,1
15.7,32,2.3,7.31,0.54,11.2,6.742970265,0.14,1
15.5,33,1.5,7.36,0.66,9.9,6.847518675,0.14,1
16.8,29,2.5,7.58,0.54,9.9,6.41911645,0.12,1
18.4,28,2.8,7.56,0.6,8.8,6.307471126,0.12,1
17.3,39,2.6,7.44,0.58,8.8,7.444037614,0.12,1
17,29,2.3,7.38,0.57,9.9,6.41911645,0.12,1
17.8,30,2.3,7.38,0.57,7,6.528852885,0.12,1
18.3,31,2,7.39,0.66,11,6.63677512,0.12,1
18.5,31,2.3,7.47,0.66,11,6.63677512,0.12,1
18.6,29,3.5,7.57,0.57,6.8,6.41911645,0.12,1
17.9,28,2.2,7.52,0.55,6.1,6.307471126,0.12,1
18.4,29,2.5,7.64,0.56,8.2,6.41911645,0.12,0
18.2,30,3,7.41,0.58,9,6.528852885,0.12,1
17.5,30,3.4,7.38,0.56,8.6,6.528852885,0.12,1
16.4,29,2.3,7.39,0.55,8.6,6.41911645,0.12,1
16,29,2.5,7.53,0.59,8.2,6.41911645,0.14,1
15.5,29,1.9,7.38,0.53,9,6.41911645,0.14,1
15.7,29,1.7,7.52,0.57,8.3,6.41911645,0.14,1
15.7,34,2.1,7.6,0.58,8,6.950494659,0.14,1
15.6,32,3,7.52,0.55,9,6.742970265,0.14,1
16.1,31,2.1,7.59,0.54,8.3,6.63677512,0.14,1
15.9,33,2.4,7.54,0.63,8.6,6.847518675,0.14,1
16.1,32,1.9,7.49,0.6,9.4,6.742970265,0.14,1
16.9,29,2.5,7.64,0.57,9.3,6.41911645,0.12,1
17.3,31,2.7,7.56,0.6,8.6,6.63677512,0.12,0
16.3,30,2.5,7.45,0.55,8,6.528852885,0.12,1
16.9,33,2.1,7.56,0.54,9.6,6.847518675,0.12,1
16.7,27,2.9,7.63,0.54,9.3,6.193813688,0.12,1
16.5,28,2.3,7.48,0.51,6.4,6.307471126,0.12,1
16.7,31,2.1,7.48,0.58,8.6,6.63677512,0.12,1
16.6,38,2.3,7.66,0.54,7.5,7.347981492,0.12,1
16.7,32,2.7,7.5,0.51,9,6.742970265,0.12,1
16.8,33,2.1,7.51,0.57,9.3,6.847518675,0.12,1
16.7,32,1.7,7.42,0.57,9.8,6.742970265,0.12,1
16.4,36,2.8,7.38,0.57,9.3,7.152,0.12,1
16.2,33,1.9,7.48,0.6,9.9,6.847518675,0.12,1
15.8,34,2.1,7.46,0.63,9.9,6.950494659,0.14,1
15,33,9,7.66,0.57,9.9,6.847518675,0.16,1
14.9,32,2.7,7.57,0.55,8,6.742970265,0.15,1
15,37,2.5,7.45,0.6,9.9,7.250652936,0.15,1
15.1,36,1.9,7.33,0.58,9.6,7.152,0.14,0
15,34,2.4,7.51,0.63,10.1,6.950494659,0.14,1
14.8,39,3.9,7.43,0.58,10.1,7.444037614,0.15,1
14.4,37,2.2,7.48,0.59,9.8,7.250652936,0.15,1
12.6,32,2.4,7.68,0.57,9.3,6.742970265,0.15,1
13.5,33,3,7.56,0.55,9.3,6.847518675,0.15,1
13.4,37,1.9,7.56,0.57,9.6,7.250652936,0.15,1
13.7,35,2.5,7.56,0.5,9.5,7.051967101,0.15,1
14.1,35,1.9,7.68,0.5,9.4,7.051967101,0.15,1
13.9,37,1.9,7.54,0.53,9.6,7.250652936,0.15,1
13.9,38,2.6,7.61,0.59,9.9,7.347981492,0.15,1
13.7,32,1.8,7.72,0.55,9.8,6.742970265,0.15,1
13.7,35,1.5,7.54,0.5,10,7.051967101,0.15,1
13.9,34,1.7,7.68,0.54,8.8,6.950494659,0.15,1
13.8,30,2.6,7.58,0.54,8.8,6.528852885,0.15,1
14.2,31,2,7.64,0.5,8.5,6.63677512,0.15,1
13.7,33,2.2,7.52,0.55,9.3,6.847518675,0.15,1
13.8,32,1.7,7.69,0.51,9.4,6.742970265,0.15,1
13.6,33,1.9,7.65,0.6,8.7,6.847518675,0.15,1
13.2,32,1.8,7.56,0.56,7.3,6.742970265,0.15,1
12.8,31,1.7,7.68,0.55,7.8,6.63677512,0.15,1
12.4,33,1.9,7.54,0.5,6.8,6.847518675,0.15,1
12.2,32,4.1,7.64,0.55,6.9,6.742970265,0.15,1
12.4,31,3.4,7.54,0.52,7.8,6.63677512,0.15,1
12.3,34,3.5,7.44,0.5,7.7,6.950494659,0.15,0
12.1,33,2,7.63,0.55,7.4,6.847518675,0.15,1
12,33,1.9,7.52,0.5,6.6,6.847518675,0.15,0
12.2,35,1.7,7.6,0.54,7.1,7.051967101,0.15,1
12.4,40,2,7.4,0.5,7.1,7.538869942,0.15,0
12.2,36,2.3,7.41,0.55,8,7.152,0.15,1
12.4,35,1.9,7.4,0.55,7.4,7.051967101,0.15,1
12,37,3.5,7.43,0.58,7.4,7.250652936,0.15,1
11.2,34,6.3,7.56,0.53,7.4,6.950494659,0.15,1
11.3,39,2.3,7.55,0.6,9.5,7.444037614,0.15,1
10.9,41,1.6,7.47,0.57,8.2,7.632524091,0.17,1
10.5,39,2.6,7.27,0.57,7.3,7.444037614,0.17,0
10.2,38,1.8,7.31,0.53,7.7,7.347981492,0.17,1
10,38,4.3,7.41,0.6,7.3,7.347981492,0.17,0
9,37,1.5,7.38,0.5,7.3,7.250652936,0.17,0
10.5,36,1.7,7.45,0.5,7.5,7.152,0.17,0
8.9,34,2.1,7.46,0.53,8.4,6.950494659,0.17,0
8.9,38,2.3,7.38,0.6,7.7,7.347981492,0.17,0
9,40,1.6,7.47,0.51,8,7.538869942,0.17,0
8.9,38,1.9,7.3,0.55,6.4,7.347981492,0.17,0
9.2,40,1.7,7.21,0.45,8.3,7.538869942,0.17,0
9.7,39,1.7,7.3,0.6,8.6,7.444037614,0.17,0
9.1,34,3.4,7.46,0.53,6.7,6.950494659,0.17,1
8.5,37,1.9,7.39,0.54,7.9,7.250652936,0.17,1
8.4,38,1.6,7.29,0.54,8.6,7.347981492,0.17,1
8,38,1.6,7.49,0.54,7.4,7.347981492,0.17,0
7.2,38,1.6,7.45,0.57,8,7.347981492,0.17,0
7.8,38,2,7.45,0.57,7.7,7.347981492,0.17,0
6.2,43,2.1,7.51,0.6,8.3,7.816466721,0.17,1
5.5,43,2.5,7.62,0.6,7.1,7.816466721,0.17,1
5,43,2,7.52,0.6,7.4,7.816466721,0.19,1
4.4,44,2.5,7.56,0.63,8.3,7.9068335,0.19,1
3.6,43,12,7.55,0.63,7.7,7.816466721,0.22,1
3.4,43,3.3,7.48,0.54,7.4,7.816466721,0.2,1
3.7,40,6.4,7.51,0.57,7.7,7.538869942,0.2,1
3.7,41,4.5,7.55,0.63,7,7.632524091,0.2,1
3.6,36,3.5,7.6,0.57,7,7.152,0.2,1
4,36,2.4,7.52,0.54,6.7,7.152,0.2,1
4.4,37,5.6,7.6,0.63,7,7.250652936,0.19,1
3.8,37,4,7.51,0.57,6.4,7.250652936,0.2,1
3.6,38,3.8,7.47,0.57,7,7.347981492,0.2,1
3.6,40,2.2,7.46,0.63,7.4,7.538869942,0.2,1
3.2,42,2.1,7.5,0.6,9,7.725042913,0.2,1
0.8,42,9.4,7.65,0.54,8.3,7.725042913,0.22,1
2.8,41,3.9,7.5,0.57,6.7,7.632524091,0.2,1
2.9,41,3.4,7.5,0.69,7,7.632524091,0.2,0
3.5,47,2.8,7.39,0.51,8.6,8.171940284,0.2,1
3,44,4.9,7.69,0.55,7.8,7.9068335,0.2,1
3.2,42,2.5,7.5,0.54,8.3,7.725042913,0.2,1
3.4,41,1.6,7.46,0.56,7.4,7.632524091,0.2,1
3.2,40,2.1,7.61,0.54,7.8,7.538869942,0.2,1
2.7,41,1.4,7.48,0.55,7.7,7.632524091,0.2,1
3.4,45,2,7.5,0.6,7.3,7.996179088,0.2,1
3.7,43,1.8,7.46,0.57,8.6,7.816466721,0.2,1
2.2,48,1.6,7.56,0.6,8.3,8.25841825,0.2,1
3.8,46,1.4,7.48,0.54,7.9,8.08453734,0.2,1
3.4,41,1.3,7.46,0.6,7.9,7.632524091,0.2,1
3.5,47,1.5,7.51,0.58,8.9,8.171940284,0.2,1
3.7,48,1.3,7.45,0.6,8.2,8.25841825,0.2,1
2.6,42,0.8,7.5,0.54,8.2,7.725042913,0.2,1
1.9,41,3,7.44,0.57,8.6,7.632524091,0.2,1
2.3,39,15,7.52,0.6,7.8,7.444037614,0.23,1
0.4,39,23,7.44,0.55,9.8,7.444037614,0.25,0
0.5,40,12,7.45,0.61,8,7.538869942,0.22,1
0.8,45,1.5,7.47,0.65,8,7.996179088,0.2,1
1.1,47,5.7,7.5,0.6,6.7,8.171940284,0.2,1
0.9,39,5.5,7.67,0.6,6.7,7.444037614,0.2,1
0.7,41,3.6,7.33,0.63,7.4,7.632524091,0.2,1
0.8,40,3,7.45,0.66,7.7,7.538869942,0.2,1
0.6,37,3.6,7.35,0.6,7.7,7.250652936,0.2,1
0.6,35,2.6,7.43,0.6,7,7.051967101,0.2,1
0.8,34,2,7.55,0.5,6.9,6.950494659,0.2,1
0.4,34,1.5,7.38,0.55,6.8,6.950494659,0.2,1
0.6,34,1.2,7.43,0.6,6.7,6.950494659,0.2,1
0.4,36,1,7.38,0.6,7.3,7.152,0.2,1
0.9,36,2.2,7.45,0.63,8.2,7.152,0.2,1
0.4,36,1,7.41,0.63,7.3,7.152,0.2,1
0.4,36,1.6,7.34,0.6,7,7.152,0.2,1
0.1,36,1.9,7.5,0.6,7.2,7.152,0.2,1
0.1,38,1.6,7.41,0.58,7.3,7.347981492,0.2,1
0.1,40,2,7.4,0.6,7.9,7.538869942,0.2,1
0.4,40,1.3,7.32,0.63,7.3,7.538869942,0.2,1
0.5,40,1.1,7.43,0.63,7.3,7.538869942,0.2,1
0.6,39,1,7.36,0.66,7.3,7.444037614,0.2,1
0.6,38,0.85,7.33,0.63,7.3,7.347981492,0.2,1
0.8,37,1,7.34,0.56,7.7,7.250652936,0.2,0
0.6,38,0.9,7.33,0.6,6.7,7.347981492,0.2,1
0.4,40,0.9,7.29,0.63,7.7,7.538869942,0.2,1
0.6,41,1,7.37,0.66,7.1,7.632524091,0.2,1
0.6,45,1,7.36,0.66,8.1,7.996179088,0.2,1
1.4,47,0.6,7.36,0.6,8.6,8.171940284,0.2,1
0.6,43,0.7,7.33,0.57,8.1,7.816466721,0.2,1
0.4,43,1.5,7.43,0.58,7.4,7.816466721,0.2,1
0.4,45,1.2,7.34,0.6,7.6,7.996179088,0.2,1
